Date,Open,High,Low,Close,Adj Close,Volume,,,,Daily return
31/1/18,115.650002,116.660004,115.160004,115.669998,111.109863,13141400,,,,
1/2/18,115.769997,116.989998,115.480003,116.870003,112.262558,13800600,,,,0.010374372
2/2/18,116.489998,116.919998,114.089996,114.279999,109.774666,16477300,,,,-0.022161369
5/2/18,113,114.589996,103.980003,108.800003,104.510712,30097600,,,,-0.047952357
6/2/18,106.849998,112.480003,106.610001,112.110001,107.690224,33114800,,,,0.030422834
7/2/18,111.550003,114.449997,111.150002,112.870003,108.420258,21878300,,,,0.006779018
8/2/18,113.110001,113.110001,107.839996,107.879997,103.626976,27425800,,,,-0.044210207
9/2/18,109.099998,111.050003,106.230003,110.040001,105.70182,28188000,,,,0.020022238
12/2/18,111.169998,112.730003,110.07,111.739998,107.334793,18043300,,,,0.015448864
13/2/18,111.32,113.050003,110.800003,112.43,107.997604,16358200,,,,0.006175174
14/2/18,112.629997,115.269997,112.529999,115.029999,110.495102,15186900,,,,0.023125495
15/2/18,115.739998,115.989998,114.220001,115.510002,110.956177,12130200,,,,0.004172809
16/2/18,114.550003,116.07,114.5,114.68,110.158905,13214300,,,,-0.007185467
20/2/18,114.650002,115.389999,113.970001,114.709999,110.187714,13461500,,,,0.000261522
21/2/18,115,117.449997,114.669998,115.190002,110.648788,14212500,,,,0.004184441
22/2/18,115.5,116.43,114.760002,114.980003,110.447075,17070400,,,,-0.001823002
23/2/18,115.309998,117.389999,115.309998,117.309998,112.685219,12162500,,,,0.020264403
26/2/18,118.139999,118.900002,117.32,118.769997,114.087654,16511200,,,,0.012445599
27/2/18,118.910004,119.330002,117.349998,117.360001,112.733238,17563300,,,,-0.011871714
28/2/18,117.82,118.489998,115.339996,115.5,110.946579,17735600,,,,-0.015848556
1/3/18,115.480003,116.639999,112.650002,113.43,108.958183,18690000,,,,-0.017922103
2/3/18,112.389999,113.559998,111.120003,113.32,108.852509,18353700,,,,-0.000969858
5/3/18,112.050003,115.93,111.889999,115.059998,110.523918,13933000,,,,0.015354805
6/3/18,115.639999,115.82,114.32,115.160004,110.61998,10674400,,,,0.000869151
7/3/18,113.75,115.099998,113.110001,114.730003,110.206932,13006500,,,,-0.003733937
8/3/18,115.110001,115.230003,113.209999,114.739998,110.216537,11173700,,,,8.71542E-05
9/3/18,116.550003,118.080002,115.669998,118.040001,113.386436,15366600,,,,0.028760648
12/3/18,118,118.75,117.25,117.660004,113.021423,12339300,,,,-0.003219195
13/3/18,118.199997,118.470001,115.830002,116.25,111.667,13312300,,,,-0.011983772
14/3/18,116.559998,116.589996,114.599998,114.949997,110.418251,12905100,,,,-0.011182793
15/3/18,115.870003,116,114.830002,115.239998,110.696815,8748000,,,,0.002522808
16/3/18,115.339996,116.599998,115.339996,115.440002,110.888939,19888900,,,,0.001735587
19/3/18,115.099998,115.449997,113.300003,114.529999,110.014809,13214900,,,,-0.007882932
20/3/18,114.870003,115.449997,114.449997,114.639999,110.120468,9921200,,,,0.000960407
21/3/18,114.809998,116.629997,114.209999,114.739998,110.216537,13633000,,,,0.000872399
